site_id,year,N_fert_grower,N_fert_reduced,dul_dep,ll15_dep,root_depth,whc,LAI_max,rain_annual,day_sow,swdef_photo_fw,swdef_expan_fw,swdef_pheno_fw,L1,day_v5,sw_dep_v5,biomass_v5,surfaceom_wt_v5,root_wt_v5,lai_v5,oc_20cm_v5,oc_40cm_v5,n_20cm_v5,n_40cm_v5,n_60cm_v5,n_0_60cm_v5,n_deep_v5,esw_pct_v5,water_table_v5,sand_40cm,om_40cm,clay_40cm,restriction,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,rad_1,rad_2,rad_3,rad_4,rad_5,rad_6,Y_corn_lt_avg,lat,long,P,junk1,junk2,junk3,junk4,junk5,junk6,junk7,junk8,junk9,junk10,junk11,junk12,junk13,junk14,junk15
6,2017,200,160,601,327,1565,274,3.164,1064,102,0.8921,0.7463,1,9.02,136,673.6,NA,292.3,713.9,0.57,1.134,0.952,2.12,4.001,7.081,13.2,21.17,1,2000,6.145,NA,15.58,124.3,226,302,64,80,18,374,NA,15.96,21.55,23.52,25.95,13.85,11.67,19.09,22.54,20.27,20.78,12.58,11820,39.15,-88.27,1383,47,NA,94100,18.9,NA,9.68,9.46,8.03,F5,F2,NA,0,65,122,F1
24,2017,190,150,NA,335.1,1573,272.7,NA,1008,101,0.9306,0.8054,1,5.55,136,683.1,825.7,296.9,727.7,0.57,1.345,1.085,2.721,NA,10.37,19.04,21.14,1,2000,6.772,NA,NA,95.54,200,281,75,78,25,NA,NA,15.87,21.4,23.48,NA,13.86,11.63,19.17,22.73,20.28,NA,12.51,11930,39.04,-88.43,1400,24,9.29,213977,30.3,NA,NA,1.89,8.03,F5,F1,0,0,40,122,F1
26,2018,220,180,619,346.8,1528,272.2,3.106,1469,102,0.9924,0.9688,1,42.79,137,619.8,525.7,443,840.3,0.4863,1.218,1.068,NA,3.46,4.21,10.38,10.51,0.9809,2000,6.1,1.717,15.6,186.3,425,50,52,216,NA,689,1.199,15.92,24.09,NA,26.22,NA,11.29,NA,19.47,17,21.95,12.18,11330,39.06,-88.34,1470,NA,NA,156400,30.3,10,1.94,1.89,20.1,NA,F1,0,0,40,122,F1
42,2017,200,160,609.5,335.5,1558,274,NA,964,101,0.9614,0.8928,1,6.589,137,676.9,903.2,344,749.1,0.62,1.238,1.038,2.363,5.228,9.575,17.17,22.65,1,1874,NA,1.682,15.9,122.6,196,287,64,78,19,NA,5.178,15.83,21,23.3,NA,13.64,11.5,19.36,22.41,20.28,21.26,12.62,11700,39.01,NA,1425,48,9.29,38950,22.7,9,5.81,24.6,4.01,F5,NA,0,0,NA,122,F1
60,2017,200,160,599.7,326.1,1584,273.7,3.174,1145,101,0.9128,0.7565,1,12.49,136,673.4,806.9,283.9,693.5,0.564,1.092,0.9262,2.051,3.019,4.188,9.258,9.455,1,2000,6.092,1.497,15.4,94.69,223,303,61,84,27,447,5.698,16.07,21.44,23.61,NA,13.88,11.64,18.73,22.27,20.49,NA,12.35,11530,39.08,-88.02,1496,53,9.29,200190,15.1,12,5.81,22.7,4.01,F5,F2,0,0,NA,122,F2
74,2018,140,100,240.4,137.5,1581,102.9,2.618,NA,100,0.9852,0.922,1,42.94,135,223.9,520.8,NA,NA,0.4659,1.746,1.732,3.635,5.003,5.882,14.52,13.07,0.8411,2000,52.99,2.805,14.7,250,394,57,203,107,32,693,1.665,15.47,24.46,25.62,26.39,14.7,11.15,21.05,19.37,18.16,21.3,12.01,7069,38.98,-87.51,NA,21,6.2,596776,30.3,10,9.68,1.89,16.1,F5,F2,0,0,40,42.7,F1
105,2018,220,180,618,335.6,1592,282.4,3.496,1192,99,0.9493,0.8322,1,26.54,135,651.9,544.4,360.8,842.4,NA,1.458,1.358,3.499,6.786,11.35,21.64,27.65,1,2000,5.11,2.24,18.57,250,362,87,85,111,67,480,1.409,15.04,24.13,25.62,26.47,NA,10.97,20.46,19.46,17.79,21.03,12.32,11700,38.94,-89.7,NA,41,18.6,88913,15.1,12,1.94,18.9,20.1,F2,F1,0,0,36,122,F1
114,2017,200,160,608.2,324.7,1598,283.6,NA,1049,97,0.9589,0.8737,1,11.78,132,703,739,349.2,759,0.5567,2.323,2.248,NA,NA,7.55,16.29,12.78,1,2000,4.046,3.75,25.61,250,230,297,57,91,31,343,5.951,NA,21.27,24.25,26.78,14.69,11.06,18.87,21.78,20.5,20.6,12.56,11590,38.86,-89.98,1391,42,NA,126701,18.9,13,1.94,1.89,NA,F5,F2,9562,0,NA,122,NA
116,2017,200,160,619.4,341.6,1607,277.8,3.506,1049,97,0.9459,NA,NA,13.58,132,721.7,739.9,349.2,763.5,0.5596,2.817,2.809,3.755,6.166,NA,18.41,14.63,1,2000,4,4.739,NA,250,230,297,57,91,31,343,5.951,15.96,21.27,24.25,26.78,14.69,11.06,NA,21.78,20.5,20.6,12.56,11560,38.91,-90.02,1397,NA,9.29,179953,NA,14,9.68,18.9,16.1,F5,F1,2597,NA,31,122,F1
120,2018,210,170,630,NA,1583,266.3,3.51,1220,98,0.8768,0.6932,1,36.58,NA,663.4,586,460.3,847.7,0.5146,2.049,2.018,4.795,NA,13.78,27.59,28.42,1,2000,4,3.348,25.44,250,NA,74.58,86.42,142,34,504,1.786,14.87,24.27,25.84,26.9,14.74,10.86,20.74,19.31,17.46,21.1,12.35,11500,38.89,-89.95,1542,NA,6.2,136823,22.7,9,5.81,7.56,24.1,F5,F1,NA,0,32,122,F1
