site_id,year,treatment,yield_bu_acre,plantN_lb_acre
6,2017,Reduced N fertilizer,153.5,164.8
6,2017,Grower Standard Practice,157.2,178.1
24,2017,Reduced N fertilizer,153.9,162.3
24,2017,Grower Standard Practice,158.1,177.7
26,2018,Reduced N fertilizer,181.1,156.7
26,2018,Grower Standard Practice,167.8,152.2
42,2017,Reduced N fertilizer,157.9,167.3
42,2017,Grower Standard Practice,161.4,179.8
60,2017,Reduced N fertilizer,162.6,148.2
60,2017,Grower Standard Practice,168.6,168.6
74,2018,Reduced N fertilizer,133.9,116.9
74,2018,Grower Standard Practice,143.5,137.1
105,2018,Reduced N fertilizer,170.2,172.7
105,2018,Grower Standard Practice,175.3,188.2
114,2017,Reduced N fertilizer,155,151.5
114,2017,Grower Standard Practice,158,165.6
116,2017,Reduced N fertilizer,155.5,155
116,2017,Grower Standard Practice,158.6,167.9
120,2018,Reduced N fertilizer,165.3,162.4
120,2018,Grower Standard Practice,174.1,174.3
143,2017,Reduced N fertilizer,149.5,152.1
143,2017,Grower Standard Practice,154.4,164.9
152,2017,Reduced N fertilizer,145.2,165.2
152,2017,Grower Standard Practice,148.9,175.4
169,2018,Reduced N fertilizer,165.8,169.2
169,2018,Grower Standard Practice,165.4,171.2
184,2017,Reduced N fertilizer,137.7,164.7
184,2017,Grower Standard Practice,138.9,171
196,2017,Reduced N fertilizer,165.5,177.3
196,2017,Grower Standard Practice,167.9,189
205,2017,Reduced N fertilizer,102.3,138.5
205,2017,Grower Standard Practice,103.5,144.6
233,2017,Reduced N fertilizer,153.3,151.2
233,2017,Grower Standard Practice,158.5,169.8
246,2018,Reduced N fertilizer,166,153.3
246,2018,Grower Standard Practice,177.1,166
249,2018,Reduced N fertilizer,166.1,145.2
249,2018,Grower Standard Practice,149.1,138.3
257,2018,Reduced N fertilizer,169,160.3
257,2018,Grower Standard Practice,183.7,178.3
258,2017,Reduced N fertilizer,98.43,109.1
258,2017,Grower Standard Practice,98.74,120.7
261,2018,Reduced N fertilizer,179.2,168.4
261,2018,Grower Standard Practice,182.2,174.8
270,2018,Reduced N fertilizer,175.8,164.3
270,2018,Grower Standard Practice,174.4,166.2
306,2017,Reduced N fertilizer,169.6,155.6
306,2017,Grower Standard Practice,177.2,178
308,2017,Reduced N fertilizer,126.2,129.8
308,2017,Grower Standard Practice,131.2,135.7
316,2017,Reduced N fertilizer,154.9,156.5
316,2017,Grower Standard Practice,159.2,170.8
335,2017,Reduced N fertilizer,144.9,148.1
335,2017,Grower Standard Practice,146.6,157.3
